version,objetivo_origen_id,objetivo_origen,frecuencia_ejercicios,frecuencia_relaciones,accion,categoria_destino,objetivo_destino_1,objetivo_destino_2,objetivo_destino_3,contexto,formato,confianza,estado_revision,motivo,ejercicio_excepcion,decision_entrenador
v2-final,14,Pressing,4,6,UNIFICAR,TD,Presión,,,,,ALTA,APROBADO,Unificación del anglicismo con el término profesional en español.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,16,Robar y progresar,1,1,DIVIDIR,TRA,Recuperación,Progresión tras recuperación,,,,ALTA,APROBADO,Objetivo compuesto; se preservan recuperación y progresión posterior.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,19,Sacar de zona,6,8,DIVIDIR,,,,,,,ALTA,EXCEPCION,El significado varía por ejercicio; cada relación se resuelve según fase y conducta real.,"[{""ejercicio_id"":5,""tipo_objetivo"":""ofensivo"",""destinos"":[{""categoria"":""TO"",""objetivo"":""Cambio de orientación""}],""contexto"":"""",""formato"":"""",""motivo"":""Mover el balón fuera de la zona de juego durante la posesión.""},{""ejercicio_id"":17,""tipo_objetivo"":""principal"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Salida de zona tras recuperación""}],""contexto"":"""",""formato"":"""",""motivo"":""Tras robar se exige sacar el balón de la zona.""},{""ejercicio_id"":72,""tipo_objetivo"":""secundario"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Salida de zona tras recuperación""}],""contexto"":"""",""formato"":"""",""motivo"":""Tras recuperar se sale de la zona para conectar con el tercer equipo.""},{""ejercicio_id"":72,""tipo_objetivo"":""defensivo"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Salida de zona tras recuperación""}],""contexto"":"""",""formato"":"""",""motivo"":""Tras recuperar se sale de la zona para conectar con el tercer equipo.""},{""ejercicio_id"":73,""tipo_objetivo"":""ofensivo"",""destinos"":[{""categoria"":""TO"",""objetivo"":""Juego exterior""}],""contexto"":""Tres apoyos exteriores"",""formato"":"""",""motivo"":""La tarea exige conectar con los tres apoyos exteriores.""},{""ejercicio_id"":75,""tipo_objetivo"":""principal"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Progresión tras recuperación""}],""contexto"":"""",""formato"":"""",""motivo"":""Tras robar se cambia de zona y se finaliza con pocos pases.""},{""ejercicio_id"":75,""tipo_objetivo"":""defensivo"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Progresión tras recuperación""}],""contexto"":"""",""formato"":"""",""motivo"":""Tras robar se cambia de zona y se finaliza con pocos pases.""},{""ejercicio_id"":76,""tipo_objetivo"":""ofensivo"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Juego exterior tras recuperación""}],""contexto"":"""",""formato"":"""",""motivo"":""Tras recuperar se debe jugar fuera antes de la presión rival.""}]",APROBADA_CON_EXCEPCIONES
v2-final,22,Orientación de la presión,5,6,MANTENER,TD,Orientación de la presión,,,,,ALTA,APROBADO,Concepto defensivo específico y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,23,Pases interiores,10,13,UNIFICAR,TO,Pase interior,,,,,ALTA,APROBADO,Normalización a la acción ofensiva singular.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,24,Buscar líneas de pase (sobre todo interiores),1,1,UNIFICAR,TO,Creación de líneas de pase interiores,,,,,ALTA,APROBADO,La precisión entre paréntesis identifica creación de líneas interiores.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,25,Lograr llevar el balón de extremo a extremo,1,1,UNIFICAR,TO,Progresión longitudinal,,,,,ALTA,APROBADO,Se sustituye la frase instructiva por el concepto táctico equivalente.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,26,Cerrar líneas de pase interiores,1,1,UNIFICAR,TD,Cierre de líneas de pase interiores,,,,,ALTA,APROBADO,Se conserva el concepto con denominación nominal profesional.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,27,Presión alta,1,1,MANTENER,TD,Presión alta,,,,,BAJA,APROBADO,Decisión conservadora: se preserva el objetivo original de R6 sin fusionarlo con presión en campo rival; la evidencia textual es limitada.,,APROBADA_SEGUN_INFORME
v2-final,28,Recuperación de balón y juego al más alejado,1,1,DIVIDIR,TRA,Recuperación,Primer pase tras recuperación,,Jugador más alejado,,MEDIA,APROBADO,Se preservan recuperación y primer pase; el destinatario se conserva como contexto.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,30,Evitar pases interiores,2,2,UNIFICAR,TD,Cierre de líneas de pase interiores,,,,,ALTA,APROBADO,Equivale al principio defensivo de cerrar líneas interiores.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,31,Apoyos constantes,1,1,UNIFICAR,TO,Apoyo,,,,,MEDIA,APROBADO,La constancia matiza la ejecución pero el objetivo base es el apoyo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,32,Robo y juego,1,1,DIVIDIR,TRA,Recuperación,Juego tras recuperación,,,,MEDIA,APROBADO,Objetivo compuesto; conserva el robo y la acción inmediatamente posterior.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,33,Buscar pases interiores,1,1,UNIFICAR,TO,Pase interior,,,,,ALTA,APROBADO,Se normaliza la frase al objetivo ofensivo Pase interior.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,35,"Si robo, juego al triángulo contrario",1,1,REUBICAR,TRA,Cambio de orientación tras recuperación,,,Triángulo contrario,,ALTA,APROBADO,Se extrae el cambio de orientación y se conserva el triángulo como contexto.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,36,Toma de decisiones,4,8,MANTENER,COG,Toma de decisiones,,,,,ALTA,APROBADO,Concepto cognitivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,38,"Si hay robo, juego a una pareja de fuera",1,1,REUBICAR,TRA,Juego exterior tras recuperación,,,Pareja exterior,,ALTA,APROBADO,Se extrae el objetivo transicional y se conserva el destinatario como contexto.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,39,Cambio de chip,3,5,DIVIDIR,,,,,,,ALTA,EXCEPCION,Los tres ejercicios representan transiciones distintas y requieren asignación por relación.,"[{""ejercicio_id"":11,""tipo_objetivo"":""principal"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Presión tras pérdida""}],""contexto"":""Desplazamiento al cuadrado libre"",""formato"":"""",""motivo"":""La pérdida activa presión inmediata en otro cuadrado.""},{""ejercicio_id"":39,""tipo_objetivo"":""principal"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Transición inmediata""},{""categoria"":""TRA"",""objetivo"":""Ajuste posicional tras transición""}],""contexto"":"""",""formato"":"""",""motivo"":""Después de finalizar se cambia inmediatamente a defender la portería contraria.""},{""ejercicio_id"":39,""tipo_objetivo"":""defensivo"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Transición inmediata""},{""categoria"":""TRA"",""objetivo"":""Ajuste posicional tras transición""}],""contexto"":"""",""formato"":"""",""motivo"":""Después de finalizar se cambia inmediatamente a defender la portería contraria.""},{""ejercicio_id"":74,""tipo_objetivo"":""principal"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Transición inmediata""}],""contexto"":"""",""formato"":"""",""motivo"":""La recuperación o pérdida cambia inmediatamente los roles de los equipos.""},{""ejercicio_id"":74,""tipo_objetivo"":""ofensivo"",""destinos"":[{""categoria"":""TRA"",""objetivo"":""Transición inmediata""}],""contexto"":"""",""formato"":"""",""motivo"":""La recuperación o pérdida cambia inmediatamente los roles de los equipos.""}]",APROBADA_CON_EXCEPCIONES
v2-final,40,Cambio de chip y desplazamiento,1,1,UNIFICAR,TRA,Presión tras pérdida,,,Desplazamiento al cuadrado libre,,ALTA,APROBADO,"R11 exige reaccionar a la pérdida, desplazarse y presionar el cuadrado libre.",,APROBADA_SEGUN_INFORME
v2-final,41,Líneas de pases interiores,2,2,UNIFICAR,TO,Líneas de pase interiores,,,,,ALTA,APROBADO,Corrección gramatical sin cambio semántico.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,42,Robo y juego fuera,2,2,DIVIDIR,TRA,Recuperación,Juego exterior tras recuperación,,,,ALTA,APROBADO,Objetivo compuesto; preserva recuperación y juego exterior posterior.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,45,Interceptación,15,15,MANTENER,TD,Interceptación,,,,,ALTA,APROBADO,Concepto defensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,46,Cambio de orientación,7,11,MANTENER,TO,Cambio de orientación,,,,,ALTA,APROBADO,Concepto ofensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,49,Ocupación racional,7,10,UNIFICAR,TO,Ocupación racional de espacios,,,,,ALTA,APROBADO,Se completa la denominación profesional sin alterar el principio.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,50,Pressing tras pérdida,1,1,UNIFICAR,TRA,Presión tras pérdida,,,,,ALTA,APROBADO,Se elimina el anglicismo y se mantiene la fase transicional explícita.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,51,Sacar de zona tras robo,1,1,UNIFICAR,TRA,Salida de zona tras recuperación,,,,,ALTA,APROBADO,La recuperación y la salida de la zona están explícitas en el original.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,52,Movilidad,4,6,UNIFICAR,TO,Movilidad sin balón,,,,,ALTA,APROBADO,Los cuatro ejercicios exigen jugar y moverse sin balón o crear línea de pase.,,APROBADA_SEGUN_INFORME
v2-final,53,Basculaciones,20,22,UNIFICAR,TD,Basculación defensiva,,,,,ALTA,APROBADO,Normalización a singular y explicitación del principio defensivo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,54,Tercer hombre,12,21,MANTENER,TO,Tercer hombre,,,,,ALTA,APROBADO,Principio ofensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,55,Técnica,15,15,UNIFICAR,TEC,Técnica general,,,,,MEDIA,APROBADO,Se conserva como paraguas sin sustituir los objetivos técnicos específicos ya presentes.,,APROBADA_SEGUN_INFORME
v2-final,56,Comunicación,12,15,MANTENER,COG,Comunicación,,,,,ALTA,APROBADO,Concepto comunicativo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,57,Balón de cara,8,9,UNIFICAR,TO,Juego de cara,,,,,ALTA,APROBADO,Los ejercicios asociados describen juego de cara como patrón ofensivo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,58,Dejar de cara,10,14,UNIFICAR,TO,Dejada de cara,,,,,ALTA,APROBADO,Normalización nominal de la acción técnica-táctica.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,60,Coordinación,10,10,UNIFICAR,CP,Coordinación motriz,,,,,ALTA,APROBADO,Unificación profesional de las variantes coordinativas.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,61,Trabajo coordinativo,16,16,UNIFICAR,CP,Coordinación motriz,,,,,ALTA,APROBADO,Se elimina Trabajo de y se unifica el concepto coordinativo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,62,Inicio de juego,5,9,MANTENER,MOD,Inicio de juego,,,,,ALTA,APROBADO,Concepto de modelo colectivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,63,Colocación,1,1,UNIFICAR,MOD,Posicionamiento,,,,,MEDIA,APROBADO,"RP7 reproduce posiciones estructurales del inicio de juego, no colocación corporal.",,APROBADA_SEGUN_INFORME
v2-final,65,Pared,2,3,MANTENER,TO,Pared,,,,,ALTA,APROBADO,Acción ofensiva concreta y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,66,"Mejora técnica del control, el pase y la conducción",2,2,DIVIDIR,TEC,Control,Pase,Conducción,,,ALTA,APROBADO,Objetivo compuesto; se conservan sus tres componentes técnicos.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,67,Control orientado,1,1,MANTENER,TEC,Control orientado,,,,,ALTA,APROBADO,Acción técnica específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,68,Inicio,1,1,UNIFICAR,MOD,Inicio de juego,,,,,ALTA,APROBADO,El ejercicio asociado utiliza Inicio como inicio de juego.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,69,Juego,1,1,UNIFICAR,MOD,Inicio de juego,,,,,ALTA,APROBADO,En RP13 es redundante con Inicio e Inicio de juego y no aporta un objetivo independiente.,,APROBADA_SEGUN_INFORME
v2-final,71,Puntería,1,1,UNIFICAR,TEC,Precisión de finalización,,,,,MEDIA,APROBADO,Se expresa profesionalmente como precisión aplicada a la finalización.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,72,Amplitud,7,12,MANTENER,TO,Amplitud,,,,,ALTA,APROBADO,Principio ofensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,73,Aplicación de los movimientos del sistema (1-4-2-3-1),2,2,REUBICAR,,,,,Sistema 1-4-2-3-1,,ALTA,CONTEXTO,Describe contexto de modelo y no un objetivo independiente.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,74,Marcas y coberturas,4,4,DIVIDIR,TD,Marcaje,Cobertura defensiva,,,,ALTA,APROBADO,Objetivo compuesto; se conservan marcaje y cobertura.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,76,Salir jugando,1,1,UNIFICAR,MOD,Salida de balón,,,,,ALTA,APROBADO,Se normaliza la expresión al concepto colectivo Salida de balón.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,78,Ayudas,1,1,UNIFICAR,TD,Ayudas defensivas,,,,,BAJA,APROBADO,Decisión conservadora basada en su único rol defensivo; no se equipara automáticamente con Cobertura defensiva.,,APROBADA_SEGUN_INFORME
v2-final,79,Ocupación de los carriles exteriores,1,1,UNIFICAR,TO,Ocupación de carriles exteriores,,,,,ALTA,APROBADO,Ajuste nominal sin pérdida del principio ofensivo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,80,Finalización,26,45,MANTENER,TEC,Finalización,,,,,ALTA,APROBADO,Objetivo técnico válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,81,Aplicación de la ocupación de los carriles exteriores,1,1,UNIFICAR,TO,Ocupación de carriles exteriores,,,,,ALTA,APROBADO,Se elimina Aplicación de y se conserva el objetivo táctico explícito.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,82,Juego directo,3,3,MANTENER,TO,Juego directo,,,,,ALTA,APROBADO,Principio ofensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,84,Despeje,6,7,MANTENER,TEC,Despeje,,,,,ALTA,APROBADO,Acción técnica específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,85,Temporización,1,2,UNIFICAR,TD,Temporización defensiva,,,,,ALTA,APROBADO,Los roles y el ejercicio asociado confirman su sentido defensivo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,86,Repliegue,2,3,MANTENER,TRA,Repliegue,,,,,ALTA,APROBADO,Principio transicional válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,87,Dividir,1,1,UNIFICAR,TO,Fijar o dividir al rival,,,,,MEDIA,APROBADO,AD7 plantea una inferioridad ofensiva frente a defensores que temporizan; el entrenador acepta la interpretación provisional.,,APROBADA_SEGUN_INFORME
v2-final,88,Desmarques,6,9,UNIFICAR,TO,Desmarque,,,,,ALTA,APROBADO,Los movimientos de ABP son variados y confirman un concepto general distinto de la ruptura.,,APROBADA_SEGUN_INFORME
v2-final,90,Fuerza preventiva,2,2,UNIFICAR,CP,Prevención de lesiones,,,,,ALTA,APROBADO,Se normaliza el propósito preventivo sin conservar Trabajo o Fuerza como etiqueta.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,91,Trabajo preventivo,3,3,UNIFICAR,CP,Prevención de lesiones,,,,,ALTA,APROBADO,Se elimina Trabajo de y se conserva el propósito preventivo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,92,Mejora técnica del pase,12,12,UNIFICAR,TEC,Pase,,,,,ALTA,APROBADO,La frase se reduce al objetivo técnico específico sin perder contenido.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,93,Trabajo de propiocepción,11,11,UNIFICAR,CP,Propiocepción,,,,,ALTA,APROBADO,Se elimina Trabajo de y se conserva la capacidad entrenada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,94,Fuerza,1,1,UNIFICAR,FIS,Fuerza general,,,,,MEDIA,APROBADO,Se explicita que el término no especifica una manifestación concreta de fuerza.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,95,Fuerza del tren superior,2,2,MANTENER,FIS,Fuerza del tren superior,,,,,ALTA,APROBADO,Capacidad física específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,96,Core,3,4,UNIFICAR,FIS,Fuerza del core,,,,,ALTA,APROBADO,Se explicita la capacidad física trabajada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,97,Trabajo de tren superior,3,3,UNIFICAR,FIS,Fuerza del tren superior,,,,,ALTA,APROBADO,Se elimina Trabajo de y se explicita la capacidad de fuerza.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,98,Fuerza explosiva,1,1,MANTENER,FIS,Fuerza explosiva,,,,,ALTA,APROBADO,Capacidad física específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,99,Trabajo de fuerza explosiva,2,2,UNIFICAR,FIS,Fuerza explosiva,,,,,ALTA,APROBADO,Se elimina Trabajo de conservando la capacidad exacta.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,101,Fuerza resistencia,6,6,MANTENER,FIS,Fuerza resistencia,,,,,ALTA,APROBADO,Capacidad física específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,105,Trabajo de fuerza resistencia,3,3,UNIFICAR,FIS,Fuerza resistencia,,,,,ALTA,APROBADO,Se elimina Trabajo de conservando la capacidad exacta.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,109,Resistencia aeróbica,7,9,MANTENER,FIS,Resistencia aeróbica,,,,,ALTA,APROBADO,Capacidad física específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,110,Posesión,1,1,UNIFICAR,TO,Conservación de balón,,,,,ALTA,APROBADO,Su único uso coincide en CT8 con Conservación de balón y no añade una consigna diferente.,,APROBADA_SEGUN_INFORME
v2-final,111,Trabajo de resistencia aeróbica,2,2,UNIFICAR,FIS,Resistencia aeróbica,,,,,ALTA,APROBADO,Se elimina Trabajo de conservando la capacidad exacta.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,113,Trabajo de coordinación,1,1,UNIFICAR,CP,Coordinación motriz,,,,,ALTA,APROBADO,Se elimina Trabajo de y se unifica el concepto coordinativo.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,115,Velocidad,2,2,MANTENER,FIS,Velocidad,,,,,ALTA,APROBADO,Capacidad física válida y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,116,Trabajo de velocidad,1,1,UNIFICAR,FIS,Velocidad,,,,,ALTA,APROBADO,Se elimina Trabajo de conservando la capacidad exacta.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,119,Mejora técnica del control y el tiro,11,11,DIVIDIR,TEC,Control,Tiro,,,,ALTA,APROBADO,Objetivo compuesto; se conservan control y tiro.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,122,Juego aéreo,4,5,MANTENER,TEC,Juego aéreo,,,,,ALTA,APROBADO,"Los cuatro ejercicios confirman acciones aéreas en faltas, centros, córneres, despejes y marcajes.",,APROBADA_SEGUN_INFORME
v2-final,123,Marcajes,7,10,UNIFICAR,TD,Marcaje,,,,,ALTA,APROBADO,Normalización a singular profesional.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,124,Balón aéreo,1,3,REUBICAR,,,,,Balón aéreo como tipo de envío o reinicio,,BAJA,CONTEXTO,JPS1 no demuestra un objetivo aéreo repetido; se conserva como condición contextual del envío.,,APROBADA_SEGUN_INFORME
v2-final,128,Desmarque de ruptura,1,1,MANTENER,TO,Desmarque de ruptura,,,,,ALTA,APROBADO,JPS4 exige explícitamente una ruptura hacia portería y se mantiene separada de Desmarque.,,APROBADA_SEGUN_INFORME
v2-final,130,Presión,3,3,MANTENER,TD,Presión,,,,,ALTA,APROBADO,Principio defensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,131,Cambio de dirección,1,1,MANTENER,TEC,Cambio de dirección,,,,,ALTA,APROBADO,Acción técnica específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,132,Presión en campo contrario,2,2,UNIFICAR,TD,Presión en campo rival,,,,,ALTA,APROBADO,Los dos ejercicios sitúan expresamente la presión en campo contrario; se profesionaliza la denominación.,,APROBADA_SEGUN_INFORME
v2-final,134,Robo y cambio de zona,1,1,DIVIDIR,TRA,Recuperación,Cambio de orientación tras recuperación,,,,ALTA,APROBADO,Objetivo compuesto; conserva recuperación y cambio posterior.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,135,Superar línea defensiva,1,1,UNIFICAR,TO,Superación de línea defensiva,,,,,ALTA,APROBADO,Normalización nominal sin pérdida semántica.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,136,Tapar pases interiores,1,1,UNIFICAR,TD,Cierre de líneas de pase interiores,,,,,ALTA,APROBADO,Equivale al principio defensivo de cerrar líneas interiores.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,138,Aplicación del sistema 1-4-4-2,1,1,REUBICAR,,,,,Sistema 1-4-4-2,,ALTA,CONTEXTO,Describe contexto de sistema y no un objetivo independiente.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,140,Asignación de marcas,1,1,UNIFICAR,TD,Marcaje,,,,,ALTA,APROBADO,La asignación concreta corresponde al objetivo defensivo Marcaje.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,141,Agrupar gente,1,1,UNIFICAR,TO,Atraer y liberar espacio,,,,,ALTA,APROBADO,JPC2 agrupa rivales en banda para liberar el lado opuesto antes del cambio de orientación.,,APROBADA_SEGUN_INFORME
v2-final,142,Acumulación de gente,1,1,UNIFICAR,TO,Atraer y liberar espacio,,,,,ALTA,APROBADO,Es la misma intención táctica que Agrupar gente en JPC2; Cambio de orientación permanece independiente.,,APROBADA_SEGUN_INFORME
v2-final,144,Escalonamiento,1,1,UNIFICAR,TD,Escalonamiento defensivo,,,,,ALTA,APROBADO,JPC7 confirma escalonamiento entre líneas defensivas; no se fuerza la variante ofensiva.,,APROBADA_SEGUN_INFORME
v2-final,145,Organización ofensiva,5,9,MANTENER,MOD,Organización ofensiva,,,,,ALTA,APROBADO,Concepto de organización colectiva válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,146,Transiciones,1,1,UNIFICAR,TRA,Contraataque tras recuperación,,,,,ALTA,APROBADO,"JPC8 exige recuperar en campo propio, avanzar rápidamente al contrario y finalizar.",,APROBADA_SEGUN_INFORME
v2-final,148,Organización defensiva,4,4,MANTENER,MOD,Organización defensiva,,,,,ALTA,APROBADO,Concepto de organización colectiva válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,150,Buscar balón a la espalda de la defensa,1,1,UNIFICAR,TO,Ataque al espacio tras la línea defensiva,,,,,ALTA,APROBADO,Se sustituye la frase por el principio ofensivo equivalente.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,151,Ayudas defensivas,1,1,MANTENER,TD,Ayudas defensivas,,,,,BAJA,APROBADO,Decisión conservadora: se preserva el concepto original de JPC11 sin asumir que equivale a cobertura.,,APROBADA_SEGUN_INFORME
v2-final,152,Defensa de centro,1,1,UNIFICAR,TD,Defensa de centros laterales,,,,,ALTA,APROBADO,El ejercicio asociado confirma la defensa de un centro lateral.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,153,1 vs 1,1,2,UNIFICAR,TEC,Duelo 1 contra 1,,,,,ALTA,APROBADO,"JPC13 exige ganar duelos posicionales y acciones ofensivas individuales, no solo un formato numérico.",,APROBADA_SEGUN_INFORME
v2-final,154,Disputa,1,1,UNIFICAR,TEC,Duelo y disputa,,,,,MEDIA,APROBADO,El ejercicio asociado trabaja el duelo posicional y la disputa individual.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,155,Juego real,2,4,REUBICAR,,,,,,Juego real,ALTA,FORMATO,"Describe el formato del ejercicio, no un objetivo independiente.",,APROBADA_TAXONOMIA_AUDITADA
v2-final,157,Jugar por fuera,1,1,UNIFICAR,TO,Juego exterior,,,,,ALTA,APROBADO,Se normaliza la expresión al principio ofensivo Juego exterior.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,159,Regate,2,3,MANTENER,TEC,Regate,,,,,ALTA,APROBADO,Acción técnica específica y ya normalizada.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,160,Ataque por centro lateral,1,1,UNIFICAR,TO,Ataque mediante centro lateral,,,,,ALTA,APROBADO,Ajuste nominal profesional sin pérdida semántica.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,162,Marcajes y basculaciones,2,2,DIVIDIR,TD,Marcaje,Basculación defensiva,,,,ALTA,APROBADO,Objetivo compuesto; se conservan marcaje y basculación.,,APROBADA_TAXONOMIA_AUDITADA
