version,objetivo_destino,categoria,objetivos_origen,relaciones_procedencia,ejercicios_distintos
v2-final,Creación de líneas de pase interiores,TO,"[{""objetivo_origen_id"":24,""objetivo_origen"":""Buscar líneas de pase (sobre todo interiores)"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Defensa combinada,MOD,"[{""objetivo_origen_id"":172,""objetivo_origen"":""Defensa combinada"",""accion"":""MANTENER"",""alcance"":""global""}]",1,1
v2-final,Defensa de centros laterales,TD,"[{""objetivo_origen_id"":152,""objetivo_origen"":""Defensa de centro"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Defensa zonal,MOD,"[{""objetivo_origen_id"":169,""objetivo_origen"":""Defensa en zona"",""accion"":""UNIFICAR"",""alcance"":""global""}]",3,2
v2-final,Dejada de cara,TO,"[{""objetivo_origen_id"":58,""objetivo_origen"":""Dejar de cara"",""accion"":""UNIFICAR"",""alcance"":""global""}]",14,10
v2-final,Desmarque,TO,"[{""objetivo_origen_id"":88,""objetivo_origen"":""Desmarques"",""accion"":""UNIFICAR"",""alcance"":""global""}]",9,6
v2-final,Desmarque de ruptura,TO,"[{""objetivo_origen_id"":128,""objetivo_origen"":""Desmarque de ruptura"",""accion"":""MANTENER"",""alcance"":""global""}]",1,1
v2-final,Despeje,TEC,"[{""objetivo_origen_id"":84,""objetivo_origen"":""Despeje"",""accion"":""MANTENER"",""alcance"":""global""}]",7,6
v2-final,Despeje orientado,TEC,"[{""objetivo_origen_id"":165,""objetivo_origen"":""Despeje orientado"",""accion"":""MANTENER"",""alcance"":""global""}]",4,4
v2-final,Duelo 1 contra 1,TEC,"[{""objetivo_origen_id"":153,""objetivo_origen"":""1 vs 1"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,1
v2-final,Duelo y disputa,TEC,"[{""objetivo_origen_id"":154,""objetivo_origen"":""Disputa"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Equilibrio,CP,"[{""objetivo_origen_id"":181,""objetivo_origen"":""Equilibrio"",""accion"":""MANTENER"",""alcance"":""global""}]",2,1
v2-final,Escalonamiento defensivo,TD,"[{""objetivo_origen_id"":144,""objetivo_origen"":""Escalonamiento"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Fijar o dividir al rival,TO,"[{""objetivo_origen_id"":87,""objetivo_origen"":""Dividir"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Finalización,TEC,"[{""objetivo_origen_id"":80,""objetivo_origen"":""Finalización"",""accion"":""MANTENER"",""alcance"":""global""}]",45,26
v2-final,Fuerza del core,FIS,"[{""objetivo_origen_id"":96,""objetivo_origen"":""Core"",""accion"":""UNIFICAR"",""alcance"":""global""}]",4,3
v2-final,Fuerza del tren superior,FIS,"[{""objetivo_origen_id"":95,""objetivo_origen"":""Fuerza del tren superior"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":97,""objetivo_origen"":""Trabajo de tren superior"",""accion"":""UNIFICAR"",""alcance"":""global""}]",5,3
v2-final,Fuerza explosiva,FIS,"[{""objetivo_origen_id"":98,""objetivo_origen"":""Fuerza explosiva"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":99,""objetivo_origen"":""Trabajo de fuerza explosiva"",""accion"":""UNIFICAR"",""alcance"":""global""}]",3,2
v2-final,Fuerza general,FIS,"[{""objetivo_origen_id"":94,""objetivo_origen"":""Fuerza"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Fuerza resistencia,FIS,"[{""objetivo_origen_id"":101,""objetivo_origen"":""Fuerza resistencia"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":105,""objetivo_origen"":""Trabajo de fuerza resistencia"",""accion"":""UNIFICAR"",""alcance"":""global""}]",9,6
v2-final,Inicio de juego,MOD,"[{""objetivo_origen_id"":62,""objetivo_origen"":""Inicio de juego"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":68,""objetivo_origen"":""Inicio"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":69,""objetivo_origen"":""Juego"",""accion"":""UNIFICAR"",""alcance"":""global""}]",11,5
v2-final,Interceptación,TD,"[{""objetivo_origen_id"":45,""objetivo_origen"":""Interceptación"",""accion"":""MANTENER"",""alcance"":""global""}]",15,15
v2-final,Juego aéreo,TEC,"[{""objetivo_origen_id"":122,""objetivo_origen"":""Juego aéreo"",""accion"":""MANTENER"",""alcance"":""global""}]",5,4
v2-final,Juego de cara,TO,"[{""objetivo_origen_id"":57,""objetivo_origen"":""Balón de cara"",""accion"":""UNIFICAR"",""alcance"":""global""}]",9,8
v2-final,Juego directo,TO,"[{""objetivo_origen_id"":82,""objetivo_origen"":""Juego directo"",""accion"":""MANTENER"",""alcance"":""global""}]",3,3
v2-final,Juego exterior,TO,"[{""objetivo_origen_id"":19,""objetivo_origen"":""Sacar de zona"",""accion"":""DIVIDIR"",""alcance"":""excepcion""},{""objetivo_origen_id"":157,""objetivo_origen"":""Jugar por fuera"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,2
v2-final,Juego exterior tras recuperación,TRA,"[{""objetivo_origen_id"":19,""objetivo_origen"":""Sacar de zona"",""accion"":""DIVIDIR"",""alcance"":""excepcion""},{""objetivo_origen_id"":38,""objetivo_origen"":""Si hay robo, juego a una pareja de fuera"",""accion"":""REUBICAR"",""alcance"":""global""},{""objetivo_origen_id"":42,""objetivo_origen"":""Robo y juego fuera"",""accion"":""DIVIDIR"",""alcance"":""global""}]",4,4
v2-final,Juego tras recuperación,TRA,"[{""objetivo_origen_id"":32,""objetivo_origen"":""Robo y juego"",""accion"":""DIVIDIR"",""alcance"":""global""}]",1,1
v2-final,Líneas de pase,TO,"[{""objetivo_origen_id"":2,""objetivo_origen"":""Líneas de pase"",""accion"":""MANTENER"",""alcance"":""global""}]",17,17
v2-final,Líneas de pase interiores,TO,"[{""objetivo_origen_id"":41,""objetivo_origen"":""Líneas de pases interiores"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,2
v2-final,Marcaje,TD,"[{""objetivo_origen_id"":74,""objetivo_origen"":""Marcas y coberturas"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":123,""objetivo_origen"":""Marcajes"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":140,""objetivo_origen"":""Asignación de marcas"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":162,""objetivo_origen"":""Marcajes y basculaciones"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":167,""objetivo_origen"":""Marcas"",""accion"":""UNIFICAR"",""alcance"":""global""}]",18,14
v2-final,Movilidad sin balón,TO,"[{""objetivo_origen_id"":3,""objetivo_origen"":""Movilidad sin balón"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":52,""objetivo_origen"":""Movilidad"",""accion"":""UNIFICAR"",""alcance"":""global""}]",8,6
v2-final,Ocupación de carriles exteriores,TO,"[{""objetivo_origen_id"":79,""objetivo_origen"":""Ocupación de los carriles exteriores"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":81,""objetivo_origen"":""Aplicación de la ocupación de los carriles exteriores"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,2
v2-final,Ocupación racional de espacios,TO,"[{""objetivo_origen_id"":49,""objetivo_origen"":""Ocupación racional"",""accion"":""UNIFICAR"",""alcance"":""global""}]",10,7
v2-final,Organización defensiva,MOD,"[{""objetivo_origen_id"":148,""objetivo_origen"":""Organización defensiva"",""accion"":""MANTENER"",""alcance"":""global""}]",4,4
v2-final,Organización ofensiva,MOD,"[{""objetivo_origen_id"":145,""objetivo_origen"":""Organización ofensiva"",""accion"":""MANTENER"",""alcance"":""global""}]",9,5
v2-final,Orientación de la presión,TD,"[{""objetivo_origen_id"":22,""objetivo_origen"":""Orientación de la presión"",""accion"":""MANTENER"",""alcance"":""global""}]",6,5
v2-final,Pared,TO,"[{""objetivo_origen_id"":65,""objetivo_origen"":""Pared"",""accion"":""MANTENER"",""alcance"":""global""}]",3,2
v2-final,Pase,TEC,"[{""objetivo_origen_id"":5,""objetivo_origen"":""Mejora técnica del control y el pase"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":66,""objetivo_origen"":""Mejora técnica del control, el pase y la conducción"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":92,""objetivo_origen"":""Mejora técnica del pase"",""accion"":""UNIFICAR"",""alcance"":""global""}]",34,34
v2-final,Pase interior,TO,"[{""objetivo_origen_id"":23,""objetivo_origen"":""Pases interiores"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":33,""objetivo_origen"":""Buscar pases interiores"",""accion"":""UNIFICAR"",""alcance"":""global""}]",14,10
v2-final,Posicionamiento,MOD,"[{""objetivo_origen_id"":63,""objetivo_origen"":""Colocación"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Precisión de finalización,TEC,"[{""objetivo_origen_id"":71,""objetivo_origen"":""Puntería"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Presión,TD,"[{""objetivo_origen_id"":14,""objetivo_origen"":""Pressing"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":130,""objetivo_origen"":""Presión"",""accion"":""MANTENER"",""alcance"":""global""}]",9,7
v2-final,Presión alta,TD,"[{""objetivo_origen_id"":27,""objetivo_origen"":""Presión alta"",""accion"":""MANTENER"",""alcance"":""global""}]",1,1
v2-final,Presión en campo rival,TD,"[{""objetivo_origen_id"":132,""objetivo_origen"":""Presión en campo contrario"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,2
v2-final,Presión tras pérdida,TRA,"[{""objetivo_origen_id"":39,""objetivo_origen"":""Cambio de chip"",""accion"":""DIVIDIR"",""alcance"":""excepcion""},{""objetivo_origen_id"":40,""objetivo_origen"":""Cambio de chip y desplazamiento"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":50,""objetivo_origen"":""Pressing tras pérdida"",""accion"":""UNIFICAR"",""alcance"":""global""}]",3,2
v2-final,Prevención de lesiones,CP,"[{""objetivo_origen_id"":90,""objetivo_origen"":""Fuerza preventiva"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":91,""objetivo_origen"":""Trabajo preventivo"",""accion"":""UNIFICAR"",""alcance"":""global""}]",5,3
v2-final,Primer pase tras recuperación,TRA,"[{""objetivo_origen_id"":28,""objetivo_origen"":""Recuperación de balón y juego al más alejado"",""accion"":""DIVIDIR"",""alcance"":""global""}]",1,1
v2-final,Progresión,TO,"[{""objetivo_origen_id"":12,""objetivo_origen"":""Progresión"",""accion"":""MANTENER"",""alcance"":""global""}]",6,4
v2-final,Progresión longitudinal,TO,"[{""objetivo_origen_id"":25,""objetivo_origen"":""Lograr llevar el balón de extremo a extremo"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Progresión tras recuperación,TRA,"[{""objetivo_origen_id"":16,""objetivo_origen"":""Robar y progresar"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":19,""objetivo_origen"":""Sacar de zona"",""accion"":""DIVIDIR"",""alcance"":""excepcion""}]",3,2
v2-final,Propiocepción,CP,"[{""objetivo_origen_id"":93,""objetivo_origen"":""Trabajo de propiocepción"",""accion"":""UNIFICAR"",""alcance"":""global""}]",11,11
v2-final,Recuperación,TRA,"[{""objetivo_origen_id"":16,""objetivo_origen"":""Robar y progresar"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":28,""objetivo_origen"":""Recuperación de balón y juego al más alejado"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":32,""objetivo_origen"":""Robo y juego"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":42,""objetivo_origen"":""Robo y juego fuera"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":134,""objetivo_origen"":""Robo y cambio de zona"",""accion"":""DIVIDIR"",""alcance"":""global""}]",6,6
v2-final,Regate,TEC,"[{""objetivo_origen_id"":159,""objetivo_origen"":""Regate"",""accion"":""MANTENER"",""alcance"":""global""}]",3,2
v2-final,Remate de cabeza,TEC,"[{""objetivo_origen_id"":164,""objetivo_origen"":""Remate de cabeza"",""accion"":""MANTENER"",""alcance"":""global""}]",4,4
v2-final,Repliegue,TRA,"[{""objetivo_origen_id"":86,""objetivo_origen"":""Repliegue"",""accion"":""MANTENER"",""alcance"":""global""}]",3,2
v2-final,Resistencia aeróbica,FIS,"[{""objetivo_origen_id"":109,""objetivo_origen"":""Resistencia aeróbica"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":111,""objetivo_origen"":""Trabajo de resistencia aeróbica"",""accion"":""UNIFICAR"",""alcance"":""global""}]",11,7
v2-final,Salida de balón,MOD,"[{""objetivo_origen_id"":76,""objetivo_origen"":""Salir jugando"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Salida de zona tras recuperación,TRA,"[{""objetivo_origen_id"":19,""objetivo_origen"":""Sacar de zona"",""accion"":""DIVIDIR"",""alcance"":""excepcion""},{""objetivo_origen_id"":51,""objetivo_origen"":""Sacar de zona tras robo"",""accion"":""UNIFICAR"",""alcance"":""global""}]",4,2
v2-final,Superación de línea defensiva,TO,"[{""objetivo_origen_id"":135,""objetivo_origen"":""Superar línea defensiva"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Temporización defensiva,TD,"[{""objetivo_origen_id"":85,""objetivo_origen"":""Temporización"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,1
v2-final,Tercer hombre,TO,"[{""objetivo_origen_id"":54,""objetivo_origen"":""Tercer hombre"",""accion"":""MANTENER"",""alcance"":""global""}]",21,12
v2-final,Tiro,TEC,"[{""objetivo_origen_id"":119,""objetivo_origen"":""Mejora técnica del control y el tiro"",""accion"":""DIVIDIR"",""alcance"":""global""}]",11,11
v2-final,Toma de decisiones,COG,"[{""objetivo_origen_id"":36,""objetivo_origen"":""Toma de decisiones"",""accion"":""MANTENER"",""alcance"":""global""}]",8,4
v2-final,Transición inmediata,TRA,"[{""objetivo_origen_id"":39,""objetivo_origen"":""Cambio de chip"",""accion"":""DIVIDIR"",""alcance"":""excepcion""}]",4,2
v2-final,Técnica general,TEC,"[{""objetivo_origen_id"":55,""objetivo_origen"":""Técnica"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":179,""objetivo_origen"":""Trabajo técnico"",""accion"":""UNIFICAR"",""alcance"":""global""}]",16,15
v2-final,Velocidad,FIS,"[{""objetivo_origen_id"":115,""objetivo_origen"":""Velocidad"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":116,""objetivo_origen"":""Trabajo de velocidad"",""accion"":""UNIFICAR"",""alcance"":""global""}]",3,2
v2-final,Velocidad de desplazamiento,FIS,"[{""objetivo_origen_id"":177,""objetivo_origen"":""Trabajo de velocidad de desplazamiento"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,2
v2-final,Velocidad de reacción,FIS,"[{""objetivo_origen_id"":175,""objetivo_origen"":""Velocidad de reacción"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":176,""objetivo_origen"":""Trabajo de velocidad de reacción"",""accion"":""UNIFICAR"",""alcance"":""global""}]",4,2
v2-final,Vigilancia defensiva,TD,"[{""objetivo_origen_id"":163,""objetivo_origen"":""Vigilancias"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
